,Paradiso,Parafrasi
1235,"ché più non arse la figlia di Belo,",trae impronta da me come io feci da lui;
1236,"noiando e a Sicheo e a Creusa,","infatti non furono accesi d’amore più di me,"
1237,"di me, infin che si convenne al pelo;","almeno fino a che si convenne ai miei capelli bianchi ,"
1238,né quella Rodopëa che delusa,"né Didone, figlia di Belo, procurando dolore a Sicheo e a Creusa,"
1239,"fu da Demofoonte, né Alcide","né la famosa Fillide di Rodope che fu tradita da Demofoonte,"
1240,quando Iole nel core ebbe rinchiusa.,"né Ercole , quando ripose gelosamente nel suo cuore Iole."
1241,"Non però qui si pente, ma si ride,","Ma qui in Paradiso non si soffre, bensì si gioisce,"
1242,"non de la colpa, ch’a mente non torna,","non del peccato, che non torna alla memoria,"
1243,ma del valor ch’ordinò e provide.,ma del potere divino che ha preordinato e provveduto.
1244,Qui si rimira ne l’arte ch’addorna,Qui si contempla il grande amore di Dio nell’opera divina
1245,"cotanto affetto, e discernesi ’l bene","che abbellisce , e si conosce il buon fine"
1246,per che ’l mondo di sù quel di giù torna.,per cui i cieli  girano intorno alla terra.
1247,Ma perché tutte le tue voglie piene,Ma affinché tu porti via soddisfatti  tutti i desideri 
1248,"ten porti che son nate in questa spera,","nati in questo cielo , mi è ancora necessario proseguire oltre."
1249,proceder ancor oltre mi convene.,Tu desideri sapere quale anima ci sia in
1250,Tu vuo’ saper chi è in questa lumera,questa luce  che brilla tanto qui vicino a
1251,che qui appresso me così scintilla,"me, come un raggio di sole in un’acqua pura ."
1252,come raggio di sole in acqua mera.,Devi dunque sapere che lì dentro gode la sua pace
1253,Or sappi che là entro si tranquilla," Raab ; e di lei,"
1254,"Raab; e a nostr’ ordine congiunta,","unita alla schiera di noi spiriti amanti, questa riceve"
1255,di lei nel sommo grado si sigilla.,l’impronta  al massimo grado.
1256,"Da questo cielo, in cui l’ombra s’appunta","In questo cielo, dove finisce  il"
1257,"che ’l vostro mondo face, pria ch’altr’ alma","cono d’ombra che la terra proietta, ella fu elevata "
1258,del trïunfo di Cristo fu assunta.,prima di ogni altra anima redenta dal trionfo di Cristo.
1259,Ben si convenne lei lasciar per palma,Fu ben giusto assegnare a uno dei cieli lei
1260,in alcun cielo de l’alta vittoria,come segno  della sublime vittoria
1261,"che s’acquistò con l’una e l’altra palma,","che fu conquistata con le due mani ,"
1262,perch’ ella favorò la prima gloria,poiché lei favorì la prima vittoriosa impresa
1263,"di Iosüè in su la Terra Santa,","di Giosuè  in quella Terrasanta,"
1264,che poco tocca al papa la memoria.,che raramente torna alla memoria del papa.
1265,"La tua città, che di colui è pianta","Proprio la tua Firenze, che nasce e cresce su Lucifero ,"
1266,che pria volse le spalle al suo fattore,"colui che per primo si oppose  a Dio suo creatore,"
1267,"e di cui è la ’nvidia tanto pianta,","e l’invidia del quale è fonte di tante lacrime,"
1268,produce e spande il maladetto fiore,"fabbrica e diffonde il pestifero fiorino,"
1269,"c’ha disvïate le pecore e li agni,","che ha portato fuori strada il gregge dei fedeli ,"
1270,però che fatto ha lupo del pastore.,dato che ha trasformato in lupo il pastore .
1271,Per questo l’Evangelio e i dottor magni,Per il denaro sono trascurati  i Vangeli
1272,"son derelitti, e solo ai Decretali","e i grandi dottori della Chiesa, e si studiano solo i Decretali ,"
1273,"si studia, sì che pare a’ lor vivagni.",come si vede bene dai loro margini consumati di note .
1274,A questo intende il papa e ’ cardinali;,Al denaro si interessano  il papa e i cardinali;
1275,"non vanno i lor pensieri a Nazarette,","la loro mente non si rivolge a Nazaret,"
1276,là dove Gabrïello aperse l’ali.,dove l’angelo Gabriele aprì le sue ali .
1277,Ma Vaticano e l’altre parti elette,"Ma il Vaticano e gli altri luoghi sacri  di Roma,"
1278,di Roma che son state cimitero,che fecero da cimitero per le schiere di martiri
1279,"a la milizia che Pietro seguette,","che seguirono s. Pietro, saranno liberati"
1280,tosto libere fien de l’avoltero».,ben presto da tale profanazione ».
1281,Guardando nel suo Figlio con l’Amore,"Dio Padre, Potenza primigenia e indicibile ,"
1282,"che l’uno e l’altro etternalmente spira,",rimirando nel Figlio  con l’Amore  
1283,lo primo e ineffabile Valore,"che entrambi emanano in eterno, "
1284,quanto per mente e per loco si gira,creò  tutto ciò che in spirito e in materia  
1285,"con tant’ ordine fé, ch’esser non puote","si muove, con tale armonia che chi la contempla"
1286,sanza gustar di lui chi ciò rimira.,non può fare a meno di godere di Lui.
1287,"Leva dunque, lettore, a l’alte rote","Alza dunque, lettore, insieme a me lo sguardo"
1288,"meco la vista, dritto a quella parte",ai cieli ruotanti verso quel punto dove il moto diurno  
1289,dove l’un moto e l’altro si percuote;,si incontra  con il moto annuo ; 
1290,e lì comincia a vagheggiar ne l’arte,e da quel punto  inizia a contemplare con amore  
1291,"di quel maestro che dentro a sé l’ama,",l’opera perfetta  di quell’Artista che nella sua mente 
1292,tanto che mai da lei l’occhio non parte.,l’ama talmente che non di stoglie mai lo sguardo da essa.
1293,Vedi come da indi si dirama,Osserva come da quel punto si distacca  
1294,"l’oblico cerchio che i pianeti porta,","il cerchio obliquo  lungo il  quale si muovono i pianeti , "
1295,per sodisfare al mondo che li chiama.,per soddisfare la terra che li chiede in aiuto. 
1296,"Che se la strada lor non fosse torta,","Poiché se il percorso non fosse obliquo, gran parte "
1297,"molta virtù nel ciel sarebbe in vano,","della virtù celeste sarebbe inutile, e quasi "
1298,e quasi ogne potenza qua giù morta;,ogni potenziale creatura sulla terra priva di vita; 
1299,e se dal dritto più o men lontano,e se l’inclinazione  fosse maggiore o minore 
1300,"fosse ’l partire, assai sarebbe manco","rispetto all’equatore , deriverebbe grave imperfezione "
1301,e giù e sù de l’ordine mondano.,all’ordine terrestre in entrambi gli emisferi .
1302,"Or ti riman, lettor, sovra ’l tuo banco,","Adesso, lettore, soffermati  da solo al tuo"
1303,"dietro pensando a ciò che si preliba,","tavolo a meditare  su quello che si pregusta , "
1304,s’esser vuoi lieto assai prima che stanco.,se vuoi raggiungere la gioia molto prima di stancarti. 
1305,Messo t’ho innanzi: omai per te ti ciba;,Io ti ho approntato il banchetto: ormai puoi cibarti da solo; 
1306,ché a sé torce tutta la mia cura,poiché attira a sé con forza tutta la mia attenzione 
1307,quella materia ond’ io son fatto scriba.,l’alto argomento di cui io sono diventato scrivano.
1308,"Lo ministro maggior de la natura,","Il sole, massimo ministro del creato, che imprime "
1309,che del valor del ciel lo mondo imprenta,nel mondo le virtù delle influenze celesti  
1310,"e col suo lume il tempo ne misura,","e con la sua luce ci  scandisce  il tempo,"
1311,con quella parte che sù si rammenta,"in congiunzione con quel punto del cielo prima ricordato, "
1312,"congiunto, si girava per le spire",si muoveva lungo quelle spirali del suo corso 
1313,in che più tosto ognora s’appresenta;,per cui sorge  ogni giorno più presto;
1314,e io era con lui; ma del salire,e io mi trovavo nel suo cielo ; ma non mi 
1315,"non m’accors’ io, se non com’ uom s’accorge,","ero accorto della mia salita, come non ci si accorge "
1316,"anzi ’l primo pensier, del suo venire.",del  sopraggiungere di un pensiero  prima che esso si sia formato.  
1317,È Bëatrice quella che sì scorge,È Beatrice colei che così guida  da
1318,"di bene in meglio, sì subitamente","un bene a un bene maggiore, così velocemente "
1319,che l’atto suo per tempo non si sporge.,che il suo agire non si estende  nel tempo.
1320,Quant’ esser convenia da sé lucente,Quanto dovevano essere di per sé splendenti le anime nel cielo 
1321,"quel ch’era dentro al sol dov’ io entra’mi,","del sole dove io entrai, che risaltavano  "
1322,"non per color, ma per lume parvente!","non per il colore, ma per l’intensità della loro luce! "
1323,"Perch’ io lo ’ngegno e l’arte e l’uso chiami,","Per quanto io faccia appello  all’ingegno, all’artificio, all’esperienza, "
1324,sì nol direi che mai s’imaginasse;,non riuscirei a esprimerlo in modo tale da poterselo immaginare;
1325,ma creder puossi e di veder si brami.,"tuttavia lo si può credere, e si deve desiderare di vederlo."
1326,E se le fantasie nostre son basse,E se la nostra immaginazione è insufficiente
1327,"a tanta altezza, non è maraviglia;","per così sublimi realtà, non c’è da stupirsi : "
1328,ché sopra ’l sol non fu occhio ch’andasse.,poiché mai occhio umano andò oltre il sole. 
1329,Tal era quivi la quarta famiglia,"Così splendente  si trovava in questo cielo la quarta schiera del Padre sublime, "
1330,"de l’alto Padre, che sempre la sazia,","che sempre la soddisfa, manifestando in che modo "
1331,mostrando come spira e come figlia.,Egli emani lo Spirito Santo e si faccia Figlio.
1332,"E Bëatrice cominciò: «Ringrazia,","Beatrice iniziò a dirmi: «Rendi grazie, ringrazia Dio , "
1333,"ringrazia il Sol de li angeli, ch’a questo",che ti ha sollevato per sua bontà 
1334,sensibil t’ha levato per sua grazia».,alla sfera del sole materiale ». 
1335,Cor di mortal non fu mai sì digesto,Mai anima umana fu così ben disposta  all’adorazione 
1336,a divozione e a rendersi a Dio,e tanto veloce  a volgersi fiduciosa  
1337,"con tutto ’l suo gradir cotanto presto,","a Dio con tutta la sua gioia e gratitudine, "
1338,come a quelle parole mi fec’ io;,come io divenni nel sentire le parole di Beatrice; 
1339,"e sì tutto ’l mio amore in lui si mise,",e il mio sentimento si posò in lui così completamente  
1340,che Bëatrice eclissò ne l’oblio.,che oscurò Beatrice nella dimenticanza.
1341,"Non le dispiacque; ma sì se ne rise,","Ella non se ne dispiacque, anzi sorrise in modo tale "
1342,che lo splendor de li occhi suoi ridenti,"che il brillare del suo sguardo luminoso divise il mio pensiero, "
1343,mia mente unita in più cose divise.,"prima tutto concentrato , fra più oggetti. "
1344,Io vidi più folgór vivi e vincenti,Io vidi molte luci vivide e splendenti disporsi in forma di corona   
1345,"far di noi centro e di sé far corona,","e porre noi al centro, più armoniosi nel canto"
1346,più dolci in voce che in vista lucenti:,di quanto fossero luminose agli occhi: 
1347,così cinger la figlia di Latona,in modo simile noi a volte vediamo  la luna 
1348,"vedem talvolta, quando l’aere è pregno,","circondarsi , quando l’aria  così densa  "
1349,sì che ritenga il fil che fa la zona.,da fermare i raggi  che formano la cintura .
1350,"Ne la corte del cielo, ond’ io rivegno,","Nel regno  dei cieli, da cui io ritorno, ci sono "
1351,si trovan molte gioie care e belle,e si incontrano  molte cose talmente preziose e belle 
1352,tanto che non si posson trar del regno;,che non è possibile portarle fuori dal Paradiso ;
1353,e ’l canto di quei lumi era di quelle;,e il cantare di quei beati era una di quelle; 
1354,"chi non s’impenna sì che là sù voli,","chi non avrà ali per alzarsi fin lassù, è come "
1355,dal muto aspetti quindi le novelle.,se volesse ricavare notizie  da un muto.
1356,"Poi, sì cantando, quelli ardenti soli","Dopo che, continuando a cantare, quelle anime sfolgoranti "
1357,"si fuor girati intorno a noi tre volte,","ebbero ruotato per tre volte intorno a noi, "
1358,"come stelle vicine a’ fermi poli,","come gli astri più vicini intorno ai loro immobili poli, "
1359,"donne mi parver, non da ballo sciolte,","mi sembrarono donne non che terminassero  una danza , "
1360,"ma che s’arrestin tacite, ascoltando","ma che si fermassero in silenzio, in ascolto, fino a quando"
1361,fin che le nove note hanno ricolte.,risentono  la ripresa di una nuova musica .
1362,E dentro a l’un senti’ cominciar: «Quando,E dall’interno di una di queste luci sentii iniziare 
1363,"lo raggio de la grazia, onde s’accende","a dire: «Dal momento che  il lume della grazia divina,  "
1364,"verace amore e che poi cresce amando,",da cui nasce  il giusto amore 
1365,"multiplicato in te tanto resplende,","che poi si fa più ardente nell’esercitarlo, molto accresciuto rifulge in te "
1366,che ti conduce su per quella scala,al punto che ti guida alla scala santa per la quale nessuno 
1367,u’ sanza risalir nessun discende;,"scende senza risalire , "
1368,qual ti negasse il vin de la sua fiala,colui che si rifiutasse di darti il vino della sua ampolla 
1369,"per la tua sete, in libertà non fora","per saziare la tua sete , non sarebbe  in stato di libertà, "
1370,se non com’ acqua ch’al mar non si cala.,proprio come acqua che non scorra al mare.
1371,Tu vuo’ saper di quai piante s’infiora,Tu desideri conoscere quali anime adornino questa corona  
1372,questa ghirlanda che ’ntorno vagheggia,"che in cerchio guarda con amore  Beatrice, "
1373,la bella donna ch’al ciel t’avvalora.,la santa donna che ti dà la forza di salire  al cielo. 
1374,Io fui de li agni de la santa greggia,Io fui uno degli agnelli del santo gregge 
1375,che Domenico mena per cammino,che s. Domenico guida lungo la strada 
1376,u’ ben s’impingua se non si vaneggia.,per la quale ci si arricchisce molto spiritualmente se non ci si perde in cose vane . 
