,Paradiso,gpt_parafrasi
582," Lo ministro maggior de la natura, che del valor del ciel lo mondo imprenta e col suo lume il tempo ne misura, ","Il più grande sovrano della Natura, che riempie la Terra con il suo beneficio potere e regola le ore con la sua luminosità."
583," con quella parte che sù si rammenta congiunto, si girava per le spire in che più tosto ognora s’appresenta","Unitamente al punto esposto in precedenza, ruotava nella spirale dove ogni giorno sorgeva un po' prima."
584," e io era con lui",Io ero al suo fianco.
585," ma del salire non m’accors’ io, se non com’ uom s’accorge, anzi ’l primo pensier, del suo venire","non ero consapevole di essere salito fin lì, se non come si è coscienti del fatto che un pensiero inaspettato sia già apparso."
586," È Bëatrice quella che sì scorge di bene in meglio, sì subitamente che l’atto suo per tempo non si sporge","Beatrice si muove tra i Cieli con estrema velocità, quasi fosse immediato."
587," Quant’ esser convenia da sé lucente quel ch’era dentro al sol dov’ io entra’mi, non per color, ma per lume parvente","I beati la Luce che galleggiava nel Cielo del Sole doveva essere brillante, perché li avevo riconosciuti anche se tutti erano dello stesso colore."
588," Perch’ io lo ’ngegno e l’arte e l’uso chiami, sì nol direi che mai s’imaginasse","Nonostante il mio sforzo di usare la perspicacia, l'abilità e le conoscenze per farlo, non riesco a fare una descrizione esauriente degli oggetti."
589," ma creder puossi e di veder si brami"," è necessario sperare di assistere all'evento, anche se è difficile da credere."
590," E se le fantasie nostre son basse a tanta altezza, non è maraviglia"," se, nello sforzo di esprimerla, si sono susseguiti tanti “sistemi” diversiNon c'è da meravigliarsi che siano stati creati moltissimi ""metodi"" diversi nel tentativo di trasmettere qualcosa di così complesso in una lingua con limitazioni."
591," ché sopra ’l sol non fu occhio ch’andasse",nessun essere umano ha mai visto una luminosità più forte di quella del Sole.
592," Tal era quivi la quarta famiglia de l’alto Padre, che sempre la sazia, mostrando come spira e come figlia","La quarta schiera dei beati si trovava qui, essendo perennemente saziata dal Padre che rivelava loro il mistero della Trinità."
593," E Bëatrice cominciò",e Beatrice iniziò
594," «Ringrazia, ringrazia il Sol de li angeli, ch’a questo sensibil t’ha levato per sua grazia»",«Che la grazia del Sole degli angeli sia lodata poiché ti ha elevato a questo mondo di manifestazione materiale.»
595," Cor di mortal non fu mai sì digesto a divozione e a rendersi a Dio con tutto ’l suo gradir cotanto presto, ",Un uomo non ebbe mai un cuore così pronto a cantare preghiere al Signore con le parole della sua gratitudine.
596," come a quelle parole mi fec’ io",come ero io rispetto a quelle parole
597," e sì tutto ’l mio amore in lui si mise, che Bëatrice eclissò ne l’oblio","Il mio affetto si concentrò su di Lui, talmente da farci dimenticare persino Beatrice."
598," Non le dispiacque",Lei non ne fu dispiaciuta.
599," ma sì se ne rise, che lo splendor de li occhi suoi ridenti mia mente unita in più cose divise",Si mise a sorridere con tanta gioia che la sua vista mi confusse con i pensieri più intricati.
600," Io vidi più folgór vivi e vincenti far di noi centro e di sé far corona, più dolci in voce che in vista lucenti","Vidi decine di luci brillanti e vivide, più luminose del Sole, circondarci come una corona a cui noi eravamo al centro; la canzone della loro luminosità cantava più dolcemente di quanto fosse splendente."
601," così cinger la figlia di Latona vedem talvolta, quando l’aere è pregno, sì che ritenga il fil che fa la zona","A volte, osserviamo una fascia luminosa intorno alla Luna quando l'aria è umida e riflette i raggi della Luna."
602," Ne la corte del cielo, ond’ io rivegno, si trovan molte gioie care e belle tanto che non si posson trar del regno","Nella corte del Paradiso, da dove vengo ricondotto, si trovano molti gioielli belli e preziosi che sono talmente splendenti da non poter essere portati via da quel regno."
603," e ’l canto di quei lumi era di quelle",e il canto di quelle luci era uno di questi
604," chi non s’impenna sì che là sù voli, dal muto aspetti quindi le novelle","chi non ha la capacità di arrivare fino in alto, non aspettarsi che io lo descriva come uno che porta notizie, proprio come un muto."
605," Poi, sì cantando, quelli ardenti soli si fuor girati intorno a noi tre volte, ","Una volta che quei raggianti astri avevano completato il loro canto con tre giri,"
606," come stelle vicine a’ fermi poli, donne mi parver, non da ballo sciolte, ma che s’arrestin tacite, ","Come due astri vicini al firmamento, le donne sembravano continuare a danzare in un reverente silenzio."
607," ascoltando fin che le nove note hanno ricolte",ascoltando fino a quando non hanno udito la musica che ha fatto ricominciare il ballo
608," E dentro a l’un senti’ cominciar",E dentro ad una sentii iniziare
609," «Quando lo raggio de la grazia, onde s’accende verace amore e che poi cresce amando, multiplicato in te tanto resplende, ","Quando lo splendore della grazia divina, dove l'amore si accende verace e cresce amando, risplende in te amplificato"
610," che ti conduce su per quella scala u’ sanza risalir nessun discende",ti accompagna lungo quel sentiero che non può essere percorso senza tornare indietro.
611," qual ti negasse il vin de la sua fiala per la tua sete, in libertà non fora se non com’ acqua ch’al mar non si cala","Se qualcuno non ti permettesse di bere del vino dalla sua ampolla per placare la tua sete, sarebbe come se un ruscello bloccasse il flusso dell'acqua da una sorgente al mare."
612," Tu vuo’ saper di quai piante s’infiora questa ghirlanda che ’ntorno vagheggia la bella donna ch’al ciel t’avvalora",Tu vuoi sapere quali fiori ci sono in questa ghirlanda che copre la bella donna che ti guida al Cielo
613," Io fui de li agni de la santa greggia che Domenico mena per cammino u’ ben s’impingua se non si vaneggia","Ero uno degli agnelli sulla strada per la benedizione, guidati da san Domenico, che cercano i benefici spirituali offerti dal seguire le regole."
614," Questi che m’è a destra più vicino, frate e maestro fummi, ","Quello che è posizionato a destra di me, era un frate e mi ha insegnato."
615," ed esso Alberto è di Cologna, e io Thomas d’Aquino","Lui è Alberto Magno da Colonia, mentre io sono Tommaso d'Aquino."
616," Se sì di tutti li altri esser vuo’ certo, di retro al mio parlar ten vien col viso girando su per lo beato serto","Se desideri conoscere i nomi di tutti gli altri, osserva attentamente le luci che abbelliscono questa splendida corona."
617," Quell’ altro fiammeggiare esce del riso di Grazïan, che l’uno e l’altro foro aiutò sì che piace in paradiso","Il sorriso radioso di Francesco Graziano portò grande gioia sia al Paradiso che alla terra, poiché consentì la promulgazione delle leggi in modo equilibrato ed elogiato."
618," L’altro ch’appresso addorna il nostro coro, quel Pietro fu che con la poverella offerse a Santa Chiesa suo tesoro","Dopo di lui, Pietro Lombardo contribuì a ornare notre schiera; donò la sua intera ricchezza alla Santa Chiesa come se fosse la povera del Vangelo."
619," La quinta luce, ch’è tra noi più bella, spira di tale amor, che tutto ’l mondo là giù ne gola di saper novella","La quinta luce, superba fra tutti noi, irradia un tale amore che il mondo intero vorrebbe sapere cosa le riserva."
620," entro v’è l’alta mente u’ sì profondo saver fu messo, che, se ’l vero è vero, a veder tanto non surse il secondo","Il suo sapere profondo infuso nella sua mente così illuminata non ha avuto un confronto in tutta la storia, secondo quanto riferito dalle sacre Scritture."
621," Appresso vedi il lume di quel cero che giù in carne più a dentro vide l’angelica natura e ’l ministero","Vicino vedi la luce di quel cero che, durante il suo soggiorno in terra, capiva più profondamente della maggior parte degli altri la natura e le mansioni degli angeli."
622," Ne l’altra piccioletta luce ride quello avvocato de’ tempi cristiani del cui latino Augustin si provide",Quell'avvocato dei tempi cristiani che sant'Agostino si avvalse della cui opera in latino rideva nella più piccola luce.
623," Or se tu l’occhio de la mente trani di luce in luce dietro a le mie lode, già de l’ottava con sete rimani","Se tu scruti con l'occhio della tua mente le mie parole, dovrai ancora scoprire quale sarà la ottava luce."
624," Per vedere ogne ben dentro vi gode l’anima santa che ’l mondo fallace fa manifesto a chi di lei ben ode","Chi legge con attenzione le opere dell'anima santa, scoprirà che rivelano la vanità del mondo e potrà intravedere il più grande bene."
625," Lo corpo ond’ ella fu cacciata giace giuso in Cieldauro",Il corpo da cui essa fu strappata riposa giù a Cieldauro
626," ed essa da martiro e da essilio venne a questa pace",e la sua anima raggiunse uno stato di serenità dopo aver attraversato le fatiche dell'esilio e del martirio.
627," Vedi oltre fiammeggiar l’ardente spiro d’Isidoro, di Beda e di Riccardo, che a considerar fu più che viro","Lo spirito infuocato di Isidoro di Siviglia, del Venerabile Beda e Riccardo di San Vittore si erge in lontananza; tali uomini andarono oltre nella contemplazione di Dio ed ebbero una forza straordinaria."
628," Questi onde a me ritorna il tuo riguardo, è ’l lume d’uno spirto che ’n pensieri gravi a morir li parve venir tardo","Da cui il tuo sguardo ritorna a me, è la luminosità di un'anima che era stata oppressa da profonde preoccupazioni, al punto che alla morte sembrava non arrivare mai."
629," essa è la luce etterna di Sigieri, che, leggendo nel Vico de li Strami, silogizzò invidïosi veri»","Sigieri di Brabante, noto per la sua illuminazione eterna, fu un maestro che insegnava lungo la ""Via della paglia"" a Parigi. La sua dottrina sollevò il risentimento da parte di alcune persone poiché dimostrava verità fondamentali."
630," Indi, come orologio che ne chiami ne l’ora che la sposa di Dio surge a mattinar lo sposo perché l’ami, ","Come un meccanismo ben oliato, suonando all'ora in cui la Chiesa si alza per lodare il Signore, invita gli uomini a fare sì che Cristo continui ad amarli."
631," che l’una parte e l’altra tira e urge, tin tin sonando con sì dolce nota, che ’l ben disposto spirto d’amor turge","Un dolce tintinnare che incuriosisce entrambi mentre si attirano l'un l'altro, riempiendo lo spirito ben disposto di un amore insondabile."
632," così vid’ ïo la gloriosa rota muoversi e render voce a voce in tempra e in dolcezza ch’esser non pò nota se non colà dove gioir s’insempra",Così io ebbi l'opportunità di vedere quella magnifica corona di spiriti cantare in armonia con un suono così indescrivibilmente soave che solo nel Paradiso poteva essere fonte di gioia eterna.
633," O insensata cura de’ mortali, quanto son difettivi silogismi quei che ti fanno in basso batter l’ali","Gli sconsiderati desideri degli uomini, quanto sono fuorvianti i discorsi che ti portano a curvarti verso il basso."
634," Chi dietro a iura e chi ad amforismi sen giva, e chi seguendo sacerdozio, e chi regnar per forza o per sofismi, ","Chiunque che si sia dedicato alla legge, chi ha perseguito gli studi medici, coloro che hanno abbracciato il sacerdozio o cercavano di governare la terra con violenza o inganni."
635," e chi rubare e chi civil negozio, chi nel diletto de la carne involto s’affaticava e chi si dava a l’ozio, quando, ","Chiunque abbia commesso un furto, chi si sia occupato di questioni politiche, chi desiderava godersi i piaceri della carne e anche chi si è arreso all'ozio, quando io..."
