Originale,Traduzione EN
"Non sia più contra me, ma si' aterrato.","For I must help Durante,"
"Ch'e' pur convien ch'i' soccorra Durante,","since I want to keep my promise to him, "
"Chéd i' gli vo' tener sua promessione,",for I have found him to be a very refined lover.
Ché trop[p]o l'ò trovato fin amante.,Reason tried very hard to take him away from me; 
Molto penò di tòr[r]elmi Ragione:,but that one was so wise and tenacious and constant 
Que' come sag[g]io fu sì fermo e stante,that Reason’s speech had no effect at all.”
Che no•lle valse nulla su' sermone”.,
La baronia sì fece parlamento,The Barons met together 
Per devisar in che maniera andranno,"to decide how they would proceed, "
O la qual porta prima assaliranno;,or which gate they would attack first. 
"Sì fur ben tutti d'un acordamento,","On this they were all in agreement,"
"Fuor che Ric[c]hez[z]a, che fe' saramento","except for Wealth, who pledged "
"Ch'ella non prendereb[b]e per me affanno,","that she would neither trouble herself for me, "
Néd al castel non dareb[b]e già danno,"nor would she do any harm to the castle, "
Per pregheria né per comandamento,no matter how many prayers or orders
"Che nessuna persona far potesse,","might be given, "
Perciò ch'i' non volli anche sua contezza:,because I never wanted her friendship: 
Sì era dritto ch'i' me ne pentesse.,it was right that I should repent for that.
Ben disse ch'i' le feci gran carezza,"Indeed, she allowed that I showed her great respect "
"Sotto dal pin, ma non c[h]'ancor vedesse","under the pine tree, but she still saw "
Che Povertà no•m'avesse in distrezza.,that Poverty had me in the straits.
"Al Die d'Amor ricordaro il fatto,",They went over the plan with the God of Love 
E disser ch'e' trovavar d'acordanza,and told him they agreed 
Che Falsembiante e Costretta-Astin,that False Seeming and Forced Abstinence 
nza,would give Bad Mouth the coup de grace.
Dessono a Mala-Bocca scacco matto;,Generosity and Lady Courtesy would make a deal 
Larghez[z]a e Cortesia traes[s]er patto,"with that one who knows the old dance well,"
"Con quella che•ssa ben la vec[c]hia danza,",and Mercy and Sincerity would give problems 
E Pietate e Franchez[z]a dear miccianza,to Resistance who is so fierce.
A quello Schifo che sta sì 'norsato;,And then Delight and Well-Hidden will advance 
"E po' vada Diletto e Ben-Celare,",and deal a mighty blow to Modesty 
Ed a Vergogna dean tal lastrellata,so that she cannot get up.
Ched ella non si possa rilevare;,"And Boldness will make fun of Fear, "
"Ardimento a Paura dea ghignata,",and Safety should flay her so severely 
E Sicurtà la deg[g]ia sì pelare,that she’ll no longer be found there.
Ched ella non vi sia ma' più trovata.,
Amor rispuose: “A me sì piace assai,Love answered: “It pleases me greatly 
Che l'oste avete bene istabulita;,that you have organized the army so well; 
"Ma•ttu, Ric[c]hez[z]a, c[h]'or mi se' fallita,","but you, Wealth, since you have failed me, "
"Sed i' potrò, tu•tte ne penterai.","If I’m able, you’ll regret your action."
"S'uomini ric[c]hi i' posso tener mai,","If I’m ever able to have rich men in my control, "
"Non poss'io già star un giorno in vita,","may I not live one more day, "
S'avanti che da me facciar partita,if I don’t diminish their possessions from great to small 
Non recherò a poco il loro assai.,before they take their leave from me.
Uomini pover' fatt'ànno lor sire,"Poor men have taken me as their Lord, "
"Di me, e ciaschedun m'à dato il core:",and each one has given me his heart; 
Per ch'a tal don mi deg[g]io ben sofrire.,thus I must be content with such a gift.
Se di ric[c]hez[z]a sì come d'amore,"If I were the god of riches as I am of love, "
"I' fosse dio, non possa io ben sentire",I would be unhappy 
Sed i' no•gli mettesse in gran riccore”.,if I could not make them extremely rich.”
"“S'uomini ric[c]hi vi fanno damag[g]io,","“If rich men do you harm, "
Vo' avete ben chi ne farà vendetta:,you certainly have those who will avenge you. 
"Non fate forza s'ella non s'afretta,","Don’t worry if this does not come rapidly, "
Ché no' la pagherén ben de l'oltrag[g]io.,because we’ll pay her back for her offence.
Le donne e le pulzelle al chiar visag[g]io,Women and young ladies with radiant faces 
"Gli metteranno ancor a tal distretta,","will put the wealthy in such distress, "
"Ma' che ciascuna largo si prometta,","that even the most savvy of them will be destroyed, "
Che strutto ne sarà que' ch'è 'l più sag[g]io.,provided that each woman exacts extravagant promises for herself.
Ma Falsembiante trametter non s'osa,But False Seeming and his friend
"Di questi fatti, né sua compagnia,","will not dare to take part in these matters, "
Ché gra•mmal gli volete: ciò ci posa.,because you despise them: this displeases us.
Sì vi priega tutta la baronia,"Therefore, the assembled barony asks "
"Che•riceviate, e [a]m","you to welcome them, and the situation will be put right.”"
nderà la cosa”.,"“Since you wish it, so it will be done.”"
"“Da po' che vo' volete, e così sia”.",
"Amor sì disse: “Per cotal convento,","Thus Love said: “False Seeming, "
"Falso-Sembiante, i•mmia corte enter[r]ai,",on this condition you will enter my court: 
Che tutti i nostri amici avanzerai,you will assist all of our allies 
E metterai i nemici in bassamento.,and put our enemies down.
E sì•tti do per buon cominciamento,"And to begin this business, I confer on you "
Che re de' barattier' tu sì sarai:,the title of king of deceivers; 
"Ché pez[z]'à che 'n capitolo il fermai,","I decided this some time ago in council, "
Ch'i' conoscëa ben tu' tradimento.,for I was well acquainted with your treacherous ways.
"Or sì vo' che•cci dichi in audïenza,",Now I want you to tell us in this hearing 
"Pe•ritrovarti se n'avrén mestiere,",where you dwell 
"I•luogo dove tu•ffai residenza,","in case we have to find you,"
"Né di che servi, né di che mestiere.",and tell us what you do and how you do it. 
Fa che n'ag[g]iàn verace conoscenza;,"Make sure we understand these things well, "
"Ma no'l farai, sì•sse' mal barattiere”.","and if you don’t, you’re truly an evil cheat.”"
"“Po' ch'e' vi piace, ed i' sì 'l vi diròe”,","“Since it is your pleasure, I’ll tell you all you want,”"
"Diss'alor Falsembiante: “or ascoltate,","False Seeming said then. “Now listen, "
Chéd i' sì vi dirò la veritate,for I’ll tell you the truth 
De•luogo dov'io uso e dov'i' stoe.,about the place I frequent and where I stay.
"Alcuna volta per lo secol voe,","Sometimes I mix with the laity, "
"Ma dentro a' chiostri fug[g]o in salvitate,","but I flee to the cloisters for safety, "
Ché quivi poss'io dar le gran ghignate,for there I can be a great mocker 
E tuttor santo tenuto saròe.,and will always be regarded as a saint.
Il fatto a' secolari è troppo aperto:,Lay brothers’ work is way too open: 
"Lo star guari co•lor no•mmi bisogna,","I don’t need to associate with them a lot, "
C[h]'a me convien giucar troppo coperto.,for I have to play my game in great secrecy.
"Perch'i' la mia malizia mi ripogna,","In order to hide my wickedness, "
Vest'io la roba del buon frate Alberto:,I don the habit of the good brother Albert.
"Chi tal rob'àe, non teme mai vergogna.",Whoever wears that garb never fears shame.”
"“I' sì mi sto con que' religïosi,",“So I pass my time with those religious
"Religïosi no, se non in vista,","- well, religious only in appearance –"
Che•ffan la ciera lor pensosa e trista,"those who make their face seem sad and anguished, "
Per parer a le genti più pietosi;,in order to appear more pious to the people.
E sì si mostran molto sofrettosi,"And they show themselves to be in need, "
E 'n tapinando ciaschedun a[c]quista:,and through begging each one reaps and profits:
"Sì che perciò mi piace lor amista,","therefore, I like their friendship, "
C[h]'a barattar son tutti curïosi.,for they are all very eager to deceive.
Po' vanno procacciando l'acontanze,Then they go seeking friendship 
"Di ric[c]he genti, e van[n]ole seguendo,","with wealthy people and follow after them, "
"E sì voglion mangiar le gran pietanze,",because they want to eat great delicacies
E' prezïosi vin' vanno bevendo:,and drink high quality wines. 
E queste son le lor grandi astinanze;,This is the way they practice great abstinence! 
Po' van la povertà altrui abellendo.,And then they go about praising poverty to others.”
"“E' sì vanno lodando la poverta,","“And so they go about praising poverty, "
"E le ric[c]hez[z]e pescan co' tramagli,","and they fish for riches with special nets, "
"Ed ivi mettor tutti lor travagli,","and there they put all their labor, "
Tutto si cuoprar e' d'altra coverta.,although they cover themselves with a different cloak.
Di lor non puo' tu trare cosa certa:,From them you can not expect anything certain: 
"Se•ttu lor presti, me' val a chitarli;","if you lend them money, it’s better just to write it off;"
"Che se•ttu metti pena in ra[c]quistarli,","for if you struggle to get your money back, "
Ciascun di lor si ferma in darti perta.,they are all intent on giving you a loss.
E ciascun dice ch'è religïoso,"And each one says he’s religious, "
"Perché vesta di sopra grossa lana,","because he dresses in rough wool cloth, "
E 'l morbido bianchetto tien nascoso;,and keeps the soft white cloth hidden underneath.
"Ma già religïone ivi non grana,","To be sure, religion does not prosper there, "
Ma grana nel cuor umile e piatoso,but it prospers in the humble and pious heart 
Che 'n trar sua vita mette pena e ana.,that assumes pain and anguish as it goes through life.”
"“Com'i' v'ò detto, in cuore umile e piano","“As I’ve told you, in the humble and modest heart "
Santa religïon grana e fiorisce:,holy religion prospers and flourishes; 
Religïoso non si inorgoglisce;,"a truly religious man is not proud, "
Tuttora il truova l'uon dolce e umano.,but always kind and mild.
"A cotal gente i' sì do tosto mano,","To people such as these I yield, "
Ché vita di nessun no•mm'abelisce,for the only kind of life I like 
Se non inganna e baratta e tradisce;,is that of one who deceives and cheats and betrays; 
"Ma 'l più ch'i' posso, di lor sì mi strano,","and so I stay as far away from them as I can,"
Ché con tal gente star ben non potrei;,for I could not associate with that kind of people; 
"C[h]'a voi, gentil signor, ben dire l'oso,","I can tell you, noble Lord, "
"Che s'i' vi stes[s]e, i' sì mi 'nfignirei.","that if I were with them, I would surely have to pretend."
"E però il mi' volere i' sì vi chioso,","Therefore, I gloss for you my desire: "
Che pender prima i' sì mi lascierei,I would rather let myself be hanged 
Ched i' uscisse fuor di mi' proposo.,before I would stray from my purpose.”
“Color con cuï sto sì ànno il mondo,“Those with whom I pass my time have so firmly 
"Sotto da lor sì forte aviluppato,",ensnared the world beneath their feet 
Ched e' nonn-è nes[s]un sì gran prelato,that there is no great prelate 
C[h]'a lor possanza truovi riva o fondo.,who can set limits to their power.
Co•mmio baratto ciaschedun afondo:,"With my trickery I sink each one of them, "
Che sed e' vien alcun gra•litterato,and if an important man of letters comes along 
"Che voglia discovrir il mi' peccato,","who wants to show my sin for what it is, "
"Co•la forza ch'i' ò, i' sì 'l confondo.",I can confound him with the powers I have.
Mastro Sighier non andò guari lieto:,Master Siger did not meet a happy end:
A ghiado il fe' morire a gran dolore,with a sword I made him die with great pain 
"Nella corte di Roma, ad Orbivieto.","in the court of Rome, at Orvieto."
"Mastro Guiglielmo, il buon di Sant'Amore,","As for Master William, the good man of Saint-Amour,"
Fec'i' di Francia metter in divieto,I had the prohibition placed on him in France 
E sbandir del reame a gran romore.,and had him exiled from the realm with great outcry.”
“I' sì vo per lo mondo predicando,“And so I go through the world preaching
E dimostrando di far vita onesta;,and giving the appearance of leading an honest life; 
"Ogne mi' fatto sì vo' far a sesta,","everything I do, I want to do perfectly, "
E gli altrui penso andar aviluppando.,and I try to screw up what others are doing.
