,Inferno,Inferno_ita
1636,e colsi un ramicel da un gran pruno;,e colsi un ramoscello da un gran pruno; 
1637,"e ’l tronco suo gridò: ""Perché mi schiante?"". ",e il tronco gridò: «Perché mi spezzi ?».
1638,"Da che fatto fu poi di sangue bruno,","Dopo che divenne scuro  per il sangue, "
1639,"ricominciò a dir: ""Perché mi scerpi?",ricominciò a dire: «Perché mi laceri ?
1640,non hai tu spirto di pietade alcuno? ,non hai tu alcun sentimento  di pietà? 
1641,"Uomini fummo, e or siam fatti sterpi:","Siamo stati uomini, e ora siamo trasformati in sterpi:"
1642,"ben dovrebb’esser la tua man più pia,","la tua mano dovrebbe essere ben più pietosa , "
1643,"se state fossimo anime di serpi"". ",se fossimo state anime di serpenti».
1644,Come d’un stizzo verde ch’arso sia,Come da un tizzone  verde che sia acceso 
1645,"da l’un de’ capi, che da l’altro geme","da una estremità , e dall’altra trasuda  "
1646,"e cigola per vento che va via, ","e stride  per il vapore  che fuoriesce ,"
1647,sì de la scheggia rotta usciva insieme,così dal tronco  spezzato uscivano insieme 
1648,parole e sangue; ond’io lasciai la cima,"parole e sangue; allora io lasciai cadere l’estremità del ramo , "
1649,"cadere, e stetti come l’uom che teme. ",e rimasi immobile  come chi è pieno di timore.
1650,"""S’elli avesse potuto creder prima"",","«Se egli avesse potuto credere prima», "
1651,"rispuose ’l savio mio, ""anima lesa,","rispose la mia saggia guida , «o anima offesa , "
1652,"ciò c’ ha veduto pur con la mia rima, ","ciò che ha veduto soltanto  nella mia poesia , "
1653,non averebbe in te la man distesa;,non avrebbe allungato  la mano contro di te; 
1654,ma la cosa incredibile mi fece,ma la realtà incredibile mi costrinse  
1655,indurlo ad ovra ch’a me stesso pesa. ,a indurlo a un gesto che dispiace  anche a me.
1656,"Ma dilli chi tu fosti, sì che ’n vece","Ma spiegagli  chi fosti tu, in modo tale"
1657,d’alcun’ammenda tua fama rinfreschi,che come riparazione  rinverdisca il tuo ricordo 
1658,"nel mondo sù, dove tornar li lece"". ","lassù nel mondo, dove gli è possibile  tornare»."
1659,"E ’l tronco: ""Sì col dolce dir m’adeschi,","E il tronco: «Mi alletti  a tal punto col tuo cortese parlar, "
1660,ch’i’ non posso tacere; e voi non gravi,che io non posso tacere; e a voi non sia gravoso  
1661,perch’ïo un poco a ragionar m’inveschi. ,che io m’attardi  a conversare un poco.
1662,Io son colui che tenni ambo le chiavi,Io sono colui che tenne entrambe le chiavi
1663,"del cor di Federigo, e che le volsi,","del cuore di Federico, e le adoperai  "
1664,"serrando e diserrando, sì soavi, ","aprendo e chiudendo, in modo così soave, "
1665,che dal secreto suo quasi ogn’uom tolsi;,che allontanai  dalla sua intimità  ogni altro;
1666,"fede portai al glorïoso offizio,","restai fedele  all’onorevole incarico , "
1667,tanto ch’i’ ne perde’ li sonni e ’ polsi. ,tanto che persi la pace  e la vita .
1668,La meretrice che mai da l’ospizio,La meretrice che mai allontanò i suoi occhi disonesti  
1669,"di Cesare non torse li occhi putti,","dalla corte  imperiale , "
1670,"morte comune e de le corti vizio, ","causa di rovina  per tutti  e vizio delle corti,"
1671,infiammò contra me li animi tutti;,infiammò gli animi di tutti contro di me; 
1672,"e li ’nfiammati infiammar sì Augusto,",e coloro che ardevano d’invidia infiammarono così l’imperatore  
1673,che ’ lieti onor tornaro in tristi lutti. ,che i lieti incarichi si trasformarono in tristi lutti.
1674,"L’animo mio, per disdegnoso gusto,","Il mio animo, per un amaro piacere ,"
1675,"credendo col morir fuggir disdegno,","credendo con la morte di fuggire la vergogna , "
1676,ingiusto fece me contra me giusto. ,"fece sì che commettessi contro di me, giusto, un atto ingiusto."
1677,Per le nove radici d’esto legno,Vi giuro sulle recenti  radici di questo albero  
1678,vi giuro che già mai non ruppi fede,che non ho mai rotto la fedeltà 
1679,"al mio segnor, che fu d’onor sì degno. ","al mio signore, che fu sì degno di onore. "
1680,"E se di voi alcun nel mondo riede,","E se qualcuno di voi ritorna  nel mondo, "
1681,"conforti la memoria mia, che giace","riscatti  la mia memoria, che giace "
1682,"ancor del colpo che ’nvidia le diede"". ",ancora sotto il colpo infertole dall’invidia».
1683,"Un poco attese, e poi ""Da ch’el si tace"",",Il poeta attese un poco e poi mi disse: 
1684,"disse ’l poeta a me, ""non perder l’ora;","«Dal momento che egli  tace, non perdere tempo , "
1685,"ma parla, e chiedi a lui, se più ti piace"". ","ma parla e interrogalo, se hai desiderio di sapere altre cose »."
1686,"Ond’ïo a lui: ""Domandal tu ancora",Per cui io a Virgilio: «Richiedigli tu quello che
1687,di quel che credi ch’a me satisfaccia;,credi mi possa soddisfare ; 
1688,"ch’i’ non potrei, tanta pietà m’accora"". ","perché io non potrei, tanta è l’angoscia che mi accora»."
1689,"Perciò ricominciò: ""Se l’om ti faccia",Perciò egli ricominciò: «Possa  spontaneamente accadere  
1690,"liberamente ciò che ’l tuo dir priega,","quanto le tue parole  hanno espresso , "
1691,"spirito incarcerato, ancor ti piaccia ","o spirito incarcerato, perciò acconsenti di dirci  "
1692,di dirne come l’anima si lega,ancora come l’anima si congiunge 
1693,"in questi nocchi; e dinne, se tu puoi,","con questi nodosi arbusti ; e dicci, se puoi, "
1694,"s’alcuna mai di tai membra si spiega"". ",se mai qualche anima si libera  da queste  membra».
1695,"Allor soffiò il tronco forte, e poi","Allora il tronco soffiò forte, e poi "
1696,si convertì quel vento in cotal voce:,quel vento si trasformò  in tali parole :
1697,"""Brievemente sarà risposto a voi. ",«Brevemente sarà data a voi risposta.
1698,Quando si parte l’anima feroce,Quando l’anima crudele  si allontana  
1699,"dal corpo ond’ella stessa s’è disvelta,","dal corpo da cui  lei stessa si è separata , "
1700,Minòs la manda a la settima foce. ,Minosse la invia nel settimo cerchio . 
1701,"Cade in la selva, e non l’è parte scelta;","Precipita nella selva, e non c’è luogo prestabilito ;"
1702,"ma là dove fortuna la balestra,","ma dove la fortuna la scaglia , "
1703,quivi germoglia come gran di spelta. ,"germoglia, come il seme di spelta."
1704,Surge in vermena e in pianta silvestra:,Si sviluppa  in pianticella  e poi in cespuglio selvatico:
1705,"l’Arpie, pascendo poi de le sue foglie,","le Arpie, cibandosi delle sue foglie, "
1706,"fanno dolore, e al dolor fenestra. ","procurano dolore, e insieme sfogo  al dolore."
1707,"Come l’altre verrem per nostre spoglie,","Come tutte le altre anime verremo per riprendere i nostri corpi , "
1708,"ma non però ch’alcuna sen rivesta,","ma non per questo alcuna se ne rivestirà, "
1709,ché non è giusto aver ciò ch’om si toglie. ,poiché non è giusto avere quello di cui ci si è privati.
1710,"Qui le strascineremo, e per la mesta","Li trascineremo qui, e sparsi per la triste "
1711,"selva saranno i nostri corpi appesi,","selva i nostri corpi saranno appesi, "
1712,"ciascuno al prun de l’ombra sua molesta"". ",ognuno al pruno nato dalla sua anima  ostile ».
1713,"Noi eravamo ancora al tronco attesi,","Noi eravamo ancora attenti  all’albero, "
1714,"credendo ch’altro ne volesse dire,","pensando ci volesse dire altro, "
1715,"quando noi fummo d’un romor sorpresi, ","quando fummo sorpresi da un rumore, "
1716,similemente a colui che venire,"come colui che sente sopraggiungere il cinghiale , "
1717,"sente ’l porco e la caccia a la sua posta,","la muta dei cani e i battitori  verso il luogo dov’è appostato , "
1718,"ch’ode le bestie, e le frasche stormire. ",poiché sente i cani  e le frasche stormire.
1719,"Ed ecco due da la sinistra costa,","Ed ecco due dalla parte  sinistra,"
1720,"nudi e graffiati, fuggendo sì forte,","nudi e graffiati, fuggivano così veloci, "
1721,che de la selva rompieno ogne rosta. ,che rompevano ogni fronda  della selva.
1722,"Quel dinanzi: ""Or accorri, accorri, morte!"".","Quello dinanzi : «Ora vieni , vieni, morte!». "
1723,"E l’altro, cui pareva tardar troppo,","E l’altro, a cui pareva di procedere troppo lentamente , "
1724,"gridava: ""Lano, sì non furo accorte ","gridava: «Lano, non furono così leste  "
1725,"le gambe tue a le giostre dal Toppo!"".",le tue gambe alla battaglia  presso il Toppo!». 
1726,"E poi che forse li fallia la lena,","E dopo che forse gli venne meno  il respiro , "
1727,di sé e d’un cespuglio fece un groppo. ,un solo groviglio  fece di sé e di un cespuglio.
1728,Di rietro a loro era la selva piena,Dietro loro la selva era piena 
1729,"di nere cagne, bramose e correnti","di cagne nere, avide e veloci  "
1730,come veltri ch’uscisser di catena. ,come veltri liberi dalla catena. 
1731,"In quel che s’appiattò miser li denti,","Affondarono  i denti in quello che si era nascosto , "
1732,e quel dilaceraro a brano a brano;,e lo dilaniarono pezzo per pezzo; 
1733,poi sen portar quelle membra dolenti. ,poi si portaron via  quelle membra dolenti.
1734,"Presemi allor la mia scorta per mano,","La mia guida  mi prese allora per mano, "
1735,e menommi al cespuglio che piangea,e mi condusse  vicino al cespuglio che piangeva 
1736,per le rotture sanguinenti in vano. ,inutilmente attraverso le sanguinanti ferite .
1737,"""O Iacopo"", dicea, ""da Santo Andrea,","Diceva: «O Iacopo da Sant’Andrea, "
1738,che t’è giovato di me fare schermo?,a che cosa t’è servito farti riparo  di me? 
1739,"che colpa ho io de la tua vita rea?"". ",Che colpa ho io della tua vita malvagia?».
1740,"Quando ’l maestro fu sovr’esso fermo,","Quando il maestro si fermò vicino a lui , "
1741,"disse: ""Chi fosti, che per tante punte",disse: «Chi fosti tu che dalle cime dei rami spezzati  
1742,"soffi con sangue doloroso sermo?"". ",fai uscire  con il sangue parole di dolore?».
1743,"Ed elli a noi: ""O anime che giunte",Ed egli  a noi: «O anime che siete giunte 
1744,siete a veder lo strazio disonesto,a vedere lo scempio  crudele  
1745,"c’ ha le mie fronde sì da me disgiunte, ","che ha separato  da me in tal modo le mie fronde, "
1746,raccoglietele al piè del tristo cesto.,raccoglietele ai piedi del mio sventurato  cespuglio . 
1747,I’ fui de la città che nel Batista,Io fui originario della città  che mutò con il Battista 
1748,mutò ’l primo padrone; ond’ei per questo ,il suo primo protettore ; perciò questi 
1749,sempre con l’arte sua la farà trista;,l’affliggerà   sempre con la sua arte della guerra; 
1750,e se non fosse che ’n sul passo d’Arno,e se non fosse che sul ponte  dell’Arno 
1751,"rimane ancor di lui alcuna vista, ","rimane ancora una sua immagine , "
1752,que’ cittadin che poi la rifondarno,quei cittadini che la ricostruirono 
1753,"sovra ’l cener che d’Attila rimase,","sulle rovine  che Attila lasciò,"
1754,avrebber fatto lavorare indarno. ,avrebbero compiuto un inutile lavoro. 
1755,"Io fei gibetto a me de le mie case"".",Io mi impiccai  nelle mie case».
1756,Poi che la carità del natio loco,Poiché l’amore  per la patria natia 
1757,"mi strinse, raunai le fronde sparte","mi strinse il cuore, riunii le fronde sparse  "
1758,"e rende’ le a colui, ch’era già fioco.",e le resi  a quell’anima che già era muta .
1759,Indi venimmo al fine ove si parte,Di qui giungemmo al limite dove il secondo girone 
1760,"lo secondo giron dal terzo, e dove","si separa  dal terzo, e dove si vede"
1761,si vede di giustizia orribil arte. ,la terribile opera  della giustizia. 
1762,"A ben manifestar le cose nove,","Per descrivere bene le cose mai viste prima , "
1763,dico che arrivammo ad una landa,dico che giungemmo in una pianura 
1764,che dal suo letto ogne pianta rimove. ,che impedisce la crescita  per tutta la sua estensione  di ogni forma vegetale.
1765,La dolorosa selva l’è ghirlanda,"La selva piena di sofferenza la circonda , "
1766,"intorno, come ’l fosso tristo ad essa;",come il triste fiume circonda la selva stessa; 
1767,quivi fermammo i passi a randa a randa. ,arrestammo il cammino qui proprio sulla estremità .
1768,"Lo spazzo era una rena arida e spessa,","Il suolo  era  una sabbia arida e compatta ,"
1769,non d’altra foggia fatta che colei,non diversa da quella che
1770,che fu da’ piè di Caton già soppressa. ,fu già calpestata  dai piedi di Catone.
1771,"O vendetta di Dio, quanto tu dei","O giustizia  di Dio, quanto devi "
1772,esser temuta da ciascun che legge,essere temuta da ciascuno che legge 
1773,ciò che fu manifesto a li occhi mei! ,ciò che è stato rivelato  agli occhi miei !
1774,D’anime nude vidi molte gregge,Vidi uno stuolo immane  di anime nude 
1775,"che piangean tutte assai miseramente,","che piangevano tutte molto disperatamente,"
1776,e parea posta lor diversa legge. ,e sembrava che fosse loro assegnata  una diversa condizione .
1777,"Supin giacea in terra alcuna gente,","Alcuni giacevano supini a terra, "
1778,"alcuna si sedea tutta raccolta,",altri sedevano tutti rannicchiati  
1779,e altra andava continüamente. ,e altri camminavano senza posa . 
1780,"Quella che giva ’ntorno era più molta,",Più numerosa era la schiera che camminava  intorno 
1781,"e quella men che giacëa al tormento,","mentre quella che subiva la punizione distesa  era in minor numero, "
1782,ma più al duolo avea la lingua sciolta. ,ma aveva la lingua più pronta  contro il castigo .
1783,"Sovra tutto ’l sabbion, d’un cader lento,","Sopra tutta quella sabbia, con un lento precipitare , "
1784,"piovean di foco dilatate falde,","piovevano larghe falde di fuoco,"
1785,come di neve in alpe sanza vento. ,come la neve in montagna  quando non c’è vento.
1786,Quali Alessandro in quelle parti calde,Come le fiamme che Alessandro  nelle regioni calde 
1787,d’Indïa vide sopra ’l süo stuolo,"dell’India vide cadere sopra le sue milizie , "
1788,"fiamme cadere infino a terra salde, ","intatte  fino a terra, "
1789,per ch’ei provide a scalpitar lo suolo,"per cui ordinò alle sue schiere di scalpicciare  il suolo, "
1790,"con le sue schiere, acciò che lo vapore",poiché il fuoco  più facilmente  si
1791,mei si stingueva mentre ch’era solo: ,spegneva  mentre era ancora isolato: 
1792,tale scendeva l’etternale ardore;,così scendeva quella fiamma  eterna ; 
1793,"onde la rena s’accendea, com’esca","per cui la sabbia si infuocava, come l’esca "
